% Model:              task3.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jul 20 2019, 14:11
% Dimension:          2
% Nodes:              262
% Expressions:        11
% Description:        Dependent variable u
% Length unit:        m
% X                       Y                        u (K) @ t=0              u (K) @ t=0.1            u (K) @ t=0.2            u (K) @ t=0.3            u (K) @ t=0.4            u (K) @ t=0.5            u (K) @ t=0.6            u (K) @ t=0.7            u (K) @ t=0.8            u (K) @ t=0.9            u (K) @ t=1
0.004316248170151744      0.004514940139254038     350.7568329245423        391.7165967164078        391.71659671256697       391.7165967123763        391.7165967118541        391.7165967119764        391.7165967118628        391.71659671191384       391.7165967118818        391.7165967118987        391.7165967118893
0                         0.006666666666666665     400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0                         0                        400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.00666666666666701       0                        349.80990476172434       387.2458882964501        387.2458882905428        387.2458882902495        387.2458882894464        387.2458882896346        387.24588828945974       387.2458882895384        387.24588828948896       387.2458882895151        387.2458882895005
0.004935265308140453      0.010040085239637606     350.2265032068498        390.44705954327765       390.4470595388902        390.44705953867236       390.447059538076         390.44705953821557       390.4470595380858        390.4470595381444        390.44705953810745       390.44705953812695       390.4470595381162
0                         0.01333333333333333      400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.013333333333333653      0                        349.99848671800436       374.61458638173934       374.6145863701822        374.6145863696085        374.61458636803735       374.61458636840536       374.61458636806327       374.61458636821754       374.6145863681207        374.61458636817196       374.61458636814314
0.009979294284912246      0.0058679420813942396    350.0535675795808        380.87618984187577       380.87618983311353       380.8761898326784        380.8761898314873        380.8761898317662        380.87618983150696       380.8761898316238        380.8761898315502        380.87618983158916       380.87618983156744
0.005168839314067497      0.016626616298040044     349.9099643448648        389.80015312237725       389.8001531177845        389.8001531175565        389.8001531169321        389.8001531170784        389.8001531169425        389.8001531170039        389.8001531169653        389.8001531169857        389.80015311697434
0                         0.019999999999999993     400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.01685594197383775       0.005362722805701365     350.0029002629315        367.93314442498405       367.933144410631         367.9331444099184        367.9331444079673        367.9331444084243        367.9331444079994        367.9331444081909        367.9331444080708        367.9331444081344        367.9331444080986
0.020000000000000295      0                        350.0005247314576        362.22135116975375       362.22135115305167       362.22135115222244       362.2213511499521        362.22135115048394       362.2213511499893        362.22135115021234       362.2213511500727        362.2213511501466        362.2213511501049
0.005298939523752645      0.023282141214684447     349.7758459090698        389.22758412764034       389.2275841229338        389.2275841227001        389.22758412206036       389.2275841222103        389.227584122071         389.2275841221339        389.22758412209447       389.2275841221153        389.22758412210356
0                         0.026666666666666658     400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.00530195739696648       0.029954346798721842     349.75660843858947       388.77168058436183       388.7716805796536        388.77168057942          388.77168057878          388.7716805789298        388.7716805787904        388.7716805788534        388.7716805788139        388.7716805788346        388.77168057882295
0                         0.03333333333333332      400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.02348666312751956       0.005346059646722961     350.0001139409065        355.7436416332387        355.7436416141236        355.74364161317453       355.7436416105764        355.743641611185         355.74364161061885       355.74364161087396       355.7436416107143        355.743641610799         355.7436416107511
0.02666666666666694       0                        350.00003959622904       350.17123332407874       350.17123330296107       350.17123330191254       350.1712332990423        350.17123329971463       350.171233299089         350.17123329937107       350.17123329919474       350.1712332992881        350.17123329923515
0.0053164595062572305     0.03664451234453622      349.7409629208368        388.1280239292436        388.1280239245238        388.1280239242896        388.1280239236481        388.12802392379825       388.12802392365853       388.1280239237216        388.12802392368206       388.128023923703         388.12802392369105
0                         0.03999999999999998      400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.030043646691559872      0.005422318000885853     350.00000656860897       344.07105437584306       344.07105435283034       344.0710543516879        344.0710543485598        344.0710543492926        344.0710543486109        344.07105434891815       344.0710543487258        344.0710543488278        344.07105434877
0.03333333333333358       0                        350.00000187252505       338.55258412639404       338.55258410178305       338.55258410056103       338.5525840972158        338.55258409799944       338.55258409727037       338.5525840975989        338.55258409739326       338.55258409750235       338.5525840974406
0.0053518752524200726     0.0433698829891199       349.6965096961581        387.2230022418207        387.22300223707106       387.22300223683516       387.2230022361894        387.2230022363406        387.2230022362002        387.2230022362635        387.22300223622375       387.22300223624484       387.2230022362328
0                         0.04666666666666664      400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.0054827963019571995     0.05013051248391587      349.6000373351381        385.77839798813187       385.77839798326835       385.77839798302676       385.7783979823657        385.7783979825206        385.7783979823767        385.7783979824416        385.7783979824008        385.7783979824222        385.77839798241
0                         0.0533333333333333       400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.03665921813979187       0.005397252825883402     350.00000041491353       332.76623023015003       332.7662302041911        332.76623020290225       332.76623019937375       332.76623020020037       332.7662301994312        332.7662301997777        332.7662301995608        332.7662301996759        332.7662301996108
0.04000000000000023       0                        350.0000000853576        327.4342135470581        327.43421352002895       327.4342135186869        327.4342135150129        327.4342135158736        327.4342135150728        327.43421351543356       327.4342135152077        327.4342135153275        327.4342135152596
0.005497332260288711      0.05671996122567632      349.59030732859634       384.24319368138316       384.2431936765078        384.24319367626566       384.24319367560287       384.24319367575805       384.2431936756139        384.2431936756789        384.24319367563834       384.2431936756597        384.24319367564743
0                         0.05999999999999997      400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.005385670868916232      0.06307021704607686      349.5978577335123        382.5915167169691        382.59151671219274       382.59151671195553       382.59151671130616       382.59151671145827       382.59151671131696       382.59151671138073       382.59151671134094       382.591516711362         382.59151671134987
0                         0.06666666666666662      400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
